designation	description	img_filename
Ordinateur PC Gamer Intel I7 9700K 4,9 Ghz, RTX 2080 Super MSI, RAM 16 Go 3600 Mhz, SSD 500 Go, HDD 1000 Go, Win 10 Pro, Wifi AC - Autre	"Informations complémentaires
Ordinateur PC Gamer Intel I7 9700K 4,9 Ghz, RTX 2080 Super MSI, RAM 16 Go 3600 Mhz, SSD 500 Go, HDD 1000 Go, Win 10 Pro, Wifi AC
Présentation
Fabricant : Autre
Produit soumis à la Rémunération Pour Copie Privée. En savoir plus
Voir le montant de la Rémunération Pour Copie Privée
Ordinateur Gamer 2021, qui permet tout simplement faire tourner les derniex jeux en ULTRA/EPIC en streaming et idéal pour de la traitement d'image et montage vidéo.
Etat :
Comme Neuf
Garantie
12 Mois
Livraison
1-4 Jours ouvrés max
Processeur : Processeur Intel® Core? i7-9700K 12 Mo de cache, jusqu'à 4,90 GHz
Carte Graphique : MSI RTX 2080 SUPER Gaming X Trio PCI-Express 16x, 8 Go GDDR6a
Carte Mère : ASUS ROG STRIX Z390-E GAMING Carte mère ATX Socket 1151 Intel Z390 Express
Mémoire RAM : Corsair 16 Go 2x8 Go 3600 Mhz
Disque NVME : Samsung 500 Go
Disque HDD : Seagate 100 Go
Ventirad : Water Cooling Bequiet 02
Alimentation : 650 Cooler Master Watts +80 Bronze
Boitier : Cooler Master
Windows : Windows 10 Pro 64-Bits Activé Officiellement
Wifi AC 5 Ghz
Processeur
Type de processeur Intel Core i7
Fréquence 4.0 GHz
RAM
Mémoire vive 16 Go
Stockage
Capacité totale des disques durs 256 Go
Système d'exploitation
Système d'exploitation Windows 10 Professionnel"	image_1792971675.jpg
Tablette Apple iPad Air (2020) Wi-Fi 64 Go 10.9 pouces Gris - Apple	"présentation tablette apple ipad air (2020) wi - fi 64 go 10.9 pouces gris - tablette apple ipad air (2020) wi-fi
Fabricant : Apple
Référence fabricant : MYFM2NF/A - MYFM2TY/A
Produit soumis à la Rémunération Pour Copie Privée. En savoir plus
Voir le montant de la Rémunération Pour Copie Privée
    Un superbe écran Liquid Retina de 10,9 pouces qui s’étend d’un bord à l’autre de l’appareil


sécurisé de façon simple et rapide avec Touch ID

doté de la puce A14 Bionic, notre puce la plus avancée


compatible avec


disponible en bleu ciel, vert, or rose, argent et gris sidéral


Le plein de matière grise. Et de couleurs.

L’iPad Air en fait plus qu’un ordinateur, de façon plus simple, presque magique. Et avec ses nouvelles capacités et fonctionnalités, il n’a jamais été aussi polyvalent.

Prêt à créer. Prêt à emporter.

Avec la puissance de la puce A14 Bionic, vous pouvez donner vie à toutes vos idées. Filmez des vidéos 4K, puis retouchez-les directement sur votre iPad Air. Utilisez l’Apple Pencil de deuxième génération pour appliquer des pinceaux dynamiques et des ombrages subtils à vos peintures ou illustrations1. Et grâce aux performances graphiques et aux capacités d’apprentissage automatique améliorées de la puce A14 Bionic, explorez de nouveaux horizons créatifs en matière de retouche photo, de composition musicale et plus encore.


Bloc-notes pour imagination à bloc.

Avec l’Apple Pencil, vous pouvez facilement prendre des notes, organiser vos idées, et annoter des captures d’écran, des e‑mails ou d’autres fichiers. Et grâce à iPadOS 14, convertissez vos croquis en formes régulières.


C’est si facile de travailler dur.

Grâce à son incroyable polyvalence, l’iPad Air s’adapte à toutes vos façons de travailler. Vous pouvez l’utiliser avec le Smart Keyboard Folio, ou connecter le Magic Keyboard pour profiter d’un clavier réactif et d’un trackpad intégré1. L’iPad Air est parfait pour tout ce que vous avez à faire, comme envoyer des e-mails, mais aussi pour tout ce que vous aimez faire, comme par exemple écrire une nouvelle. Et avec son autonomie d’une journée2, c’est vous qui décidez quand il est l’heure de s’arrêter.

Pour travailler.
Pour étudier.
Ou pour se retrouver.

Avec ses connectivités Wi‑Fi et 4G LTE Advanced, l’iPad Air est idéal pour garder le contact. Où que vous soyez, vous pouvez lancer un appel FaceTime, participer à une vidéoconférence, ou démarrer un projet de groupe avec des proches ou des camarades de classe. L’appareil photo, la caméra et le micro avancés restituent les voix et les visages avec une incroyable précision. En plus, l’iPad Air intègre le Wi‑Fi 6 ultra-rapide. Et si aucun réseau Wi‑Fi n’est disponible, vous pouvez vous connecter partout avec la 4G LTE Advanced

Game over pour l’ennui.

Les graphismes incroyables de la puce A14 Bionic et l’écran spectaculaire de l’iPad Air vous plongent au cœur du divertissement. Regardez des films sur le superbe écran Liquid Retina avec large gamme de couleurs P3 et profitez d’une expérience audio immersive grâce à la qualité des haut‑parleurs et au son stéréo panoramique en mode paysage. Ou connectez une manette4 et laissez‑vous captiver par des jeux vidéo aux graphismes dignes d’une console.

L’iPad Air, c’est tout ça.

Touch ID intégré au bouton supérieur pour vous authentifier de façon simple, sûre et rapide.


Puce A14 Bionic avec CPU 40 % plus rapide, processeur graphique 30 % plus rapide et apprentissage automatique 2x plus rapide grâce au Neural Engine de nouvelle génération

Écran Liquid Retina bord à bord de 10,9 pouces6 avec technologie True Tone, large gamme de couleurs P3 et revêtement antireflet.


Avec l’Apple Pencil de deuxième génération, prenez des notes, annotez un document ou dessinez un chef‑d’œuvre.

Appareil photo arrière 12 Mpx avec Focus Pixels et caméra FaceTime HD 7 Mpx pour des appels vidéo haute qualité.


iPadOS 14 avec de nouvelles fonctionnalités conçues spécifiquement pour l’iPad.

Connectivité internet rapide avec Wi‑Fi 6 et technologie 4G LTE Advanced atteignant des vitesses jusqu’à 60 % supérieures.

Disponible en argent, gris sidéral, or rose, vert et bleu ciel.


Confidentialité

Comme tout autre produit Apple, l’iPad Air a été conçu dans le souci de préserver votre sécurité et votre vie privée. C’est une ligne directrice qui n’est pas toujours facile à suivre, mais c’est en cette façon d’innover que nous croyons.

Accessibilité

Une technologie n’est véritablement puissante que si elle se met à la portée de tout le monde. C’est pourquoi l’iPad Air intègre des fonctionnalités d’accessibilité qui répondent aux besoins liés aux troubles de la vision, de l’audition, de la mobilité ou de l’apprentissage.

Environnement

Nous assumons la responsabilité de l’empreinte environ­nementale de nos produits tout au long de leur cycle de vie. L’iPad Air est doté d’un boîtier fabriqué à partir d’aluminium 100 % recyclé, d’une carte mère avec des soudures en étain 100 % recyclé et de haut‑parleurs constitués d’éléments de terres rares 100 % recyclés. De plus, toutes les fibres de bois présentes dans son emballage sont recyclées ou proviennent de forêts gérées de façon responsable.

 "	image_1533424878.jpg
victoria. - Victoria basket 1141128 - Kaki - Victoria.	"Présentation
Marque : Victoria.
Basket Victoria pour femme"	image_1855990005.jpg
Mackie MIX8 - Table de mixage 8 voies - Mackie	"Présentation
- 2 entrées mic/line XLR avec pré-amp high-headroom EQ 3 bandes- Alimentation fantôme- 1 départ aux. stéréo 6,35 mm- 2 entrées stéréo- Entrées/sorties RCA dédiées pour enregistrement et lecture- Sorties Main L/R, casque avec volume séparé - Poids et dimensions : 0,6 kg, 198 x 244 x 53 mm"	image_1027400189.jpg
NBA 2K21 - Take 2	"présentation nba 2k21 - jeu video sony playstation 4
Editeur : Take 2
Classification : Sport - Basket
Saga : NBA 2K
Titre alternatif : NBA2K21
Sortie : 04/09/2020
Nombre de support : 1
NBA 2K21
Trailer
NBA 2K21
Trailer
NBA 2K21
Trailer
NBA 2K21
Trailer
NBA 2K21
Trailer
NBA 2K21
Trailer
NBA 2K21
Trailer
NBA 2K21
Trailer
NBA 2K21
Trailer
NBA 2K21 est le dernier opus de la série des jeux de basket NBA 2k au succès mondial, développés par Visual Concepts et édités par 2K.

Synopsis :
2K21 donne le ton avec des innovations conçues pour les nouvelles consoles Playstation 5 et Xbox Series X, tout en continuant d'offrir la meilleure expérience de jeu de sport sur Playstation 4, Xbox One et Nintendo Switch. Avec des graphismes réalistes et un gameplay encore plus approfondis, des fonctionnalités en ligne compétitives et communautaires, ainsi que des modes de jeu intenses et variés, NBA 2K21 offre une immersion exceptionnelle dans toutes les facettes de la NBA et de la culture du basket, le tout dans un seul et unique jeu."	image_1446256379.jpg
Mug thermo-réactif PlayStation Sony - PS5 - Playstation	"Informations complémentaires
Mug thermo-réactif PlayStation Sony - PS5
Vos amis joueurs seront tellement jaloux lorsqu'ils verront le design de ce mug PlayStation PS5 en céramique de 300 ml.
Mug thermo-réactif passant du noir avec les icônes de boutons d'action pour révéler un incroyable design enveloppant en blanc avec de grandes icônes de couleur argentée lorsqu'une boisson chaude est versée.
contenance d'environ 300 ml
Lavage à la main seulement.
Ne va pas au lave-vaisselle.
Ne pas mettre au micro-ondes.
sous licence officielle
Présentation
Fabricant : playstation
Type de produit : Mug

Matière dominante : Céramique

Poids : 250 à 500 g
Mug thermo-réactif PlayStation Sony - PS5
Vos amis joueurs seront tellement jaloux lorsqu'ils verront le design de ce mug PlayStation PS5 en céramique de 300 ml.
Mug thermo-réactif passant du noir avec les icônes de boutons d'action pour révéler un incroyable design enveloppant en blanc avec de grandes icônes de couleur argentée lorsqu'une boisson chaude est versée.
contenance d'environ 300 ml
Lavage à la main seulement.
Ne va pas au lave-vaisselle.
Ne pas mettre au micro-ondes.
sous licence officielle"	image_1732090640.jpg
"Parmigiano Reggiano DOP (AOP) """"Vacche Rosse / Vache Rouge"""" produit pendant 40 mois, 1 kg. Produit directement par le Consortium Red Cows (Label Rouge) - Consorzio Vacche Rosse"	"présentation parmigiano reggiano dop (aop) """"vacche rosse / vache rouge"""" produit pendant 40 mois, 1 kg. produit directement par le... - fromage de vache
Produit directement par le Consortium des vaches rouges (Red Label).
La race Reggiana a des origines très anciennes, qui sont arrivées sur nos terres vers l an 1000.
Produit avec du lait de Vaches Rouges de la race Reggiana nourris exclusivement avec de l herbe, du foin et des aliments certifiés sans OGM et avec l'interdiction absolue de toute technique alimentaire servant à forcer la production, pour la plus grande attention au bien-être animal.
Le fromage """"Vacche Rosse"""" est particulièrement digeste, il NE CONTIENT PAS DE LACTOSE.
Un fromage à la saveur douce, délicate et persistante."	image_1655636026.jpg
DELTA ELECTRONICS DPS-300AB-39C REV 00F - Delta Electronic	"Présentation
Fabricant : Delta Electronic
Référence fabricant : DPS-300AB-39C REV 00F
Alimentation ATX provenant du démontage d'une configuration Totalement fonctionnelle testé et dépoussiéré dans nos ateliers . L'alimentation est silencieuse (NOISE KILLER ) et en parfait état de fonctionnement s'adapte dans tous les boîtiers ATX et MICRO ATX."	image_1375640563.jpg
Tennis femme No Name Arcade Straps - No Name	"Présentation
Marque : No name
Paire de baskets de marque No Name et de couleur Camel. Ces baskets NO NAME Arcade Straps suede Femme Camel se présentent de la composition suivante : Tige en Cuir, Doublure en Textile, Semelle intérieure en Textile, Semelle extérieure en Gomme. Conseil Chaussant : Choisissez votre pointure habituelle. Faites vous plaisir avec ces baskets (appelées également Tennis) Camel que ce soit en utilisation sportive ou urbaine avec un style affirmé et propre à la marque No Name."	image_1815908770.jpg
Marvel's Spider-Man - Sony Interactive Entertainment	"Présentation
Editeur : Sony Interactive Entertainment
Classification : Action - Adaptation TV/Ciné/BD
Saga : Spider-Man
Titre alternatif : SM
Sortie : 07/09/2018
Nombre de support : 1
Spidey revient !!!

Synopsis :
Explorez un nouveau chapitre de l'univers de Spider-Man avec un Peter Parker plus expérimenté. Mettant en vedette l'un des héros les plus emblématiques de la planète, le nouveau Spider-Man vous offre toutes les acrobaties, les improvisations, et la voltige sur toile que vous attendez, tout en vous surprenant avec des éléments jamais vus dans un jeu Spider-Man. Maîtrisez l'art du parkour dans des environnements interactifs uniques, faites face à de nouveaux combats et à des scènes d'action dignes d'un blockbuster. Découvrez Spider-Man comme vous ne l'avez jamais vu !
 Marvel’s Spider-Man. Soyez meilleur. 
Lorsqu'un nouveau méchant menace la ville de New York, les mondes de Peter Parker et de Spider-Man s'affrontent. Pour sauver la ville et ceux qu'il aime, il doit se lever et être meilleur.
 Soyez Spider-Man 
Après huit ans passés derrière un masque, Peter Parker est un maître dans l'art de lutter contre les crimes. Ressentez toute la puissance d'un Spider-Man plus expérimenté avec des combats improvisés, des prouesses acrobatiques dynamiques, des traversées urbaines fluides et des interactions avec l'environnement. Beaucoup plus qu'un simple débutant, il s'agit du Spider-Man le plus remarquable du jeu à ce jour.
 Les mondes s'affrontent 
Les mondes de Peter Parker et de Spider-Man s'affrontent dans une histoire originale remplie d'action. Dans ce nouvel univers de Spider-Man, des personnages emblématiques de la vie de Peter et de Spider-Man ont été réinventés, présentant des personnages familiers dans des rôles uniques
 Le New York de Marvel est votre terrain de jeu 
La Grosse Pomme prend vie dans le monde le plus vaste et interactif à ce jour créé par Insomniac. Circulez dans des quartiers animés et ayez une vue à couper le souffle des sites emblématiques de Marvel et de Manhattan. Utilisez l'environnement pour vaincre les méchants dans des attaques épiques dignes d'un véritable film d'action
Support
Public 16+
Type de support BD-25 (Bluray Disc)
Conditionnement Boîtier DVD (Keep Case)
Zone A, B, C
Voix Français
Textes Français
Mode de jeu Solo
Nombre de joueur(s) max 1 (solo)
Audio
Système Son 5.1
Vidéo
Système HD
Résolution HD 1080p
Anamorphique Non"	image_1212160890.jpg
